ISO3 Code,Country,Cereal Availability (kg/person/yr),Cereal Yield (kg/ha),GDP per Capita (USD),Rural Electricity Access (%),Post-Harvest Loss (%),Trade % GDP,Fertiliser Efficiency,Rural Population (%),Availability Band
LKA,Sri Lanka,629.42425,4541.1,4357.97225779491,100.0,3.32,41.23,29.5,80.1733724804731,Very High
LSO,Lesotho,404.99305,972.5,955.221236301503,37.7,12.966666666666669,139.19,61.66,59.3448239148003,Medium
LTU,Lithuania,353.96605,3937.2,18569.7057246217,100.0,4.45,154.81,28.19,31.8087882995605,Low
LUX,Luxembourg,339.29305000000005,5593.3,110873.185245175,100.0,0.82,397.51,24.64,5.4138256603467,Low
LVA,Latvia,290.44875,3900.2,16070.1680032322,100.0,1.41,136.8,34.88,31.8191208536307,Very Low
MAR,Morocco,700.9533,2328.7,3309.130859375,100.0,4.87,75.52,40.0,37.6826723399711,Very High
MDA,Moldova,353.25064999999995,5157.7,3688.16729442144,100.0,0.87,88.47,110.73,58.1884574890137,Low
MDG,Madagascar,448.83685,2776.5,431.599103077746,10.9,14.5,55.22,425.47,68.8862876783964,High
MDV,Maldives,381.2644,2442.8,9759.2219360708,100.0,10.5,142.61,22.16,59.2601351289517,Medium
MEX,Mexico,482.58475,3878.9,9728.05680032556,100.0,2.7,83.07,38.31,21.0675992581943,High
MKD,North Macedonia,392.52465,3537.8,6064.92315120022,100.0,1.52,146.72,70.07,38.3158024371861,Medium
MMR,Myanmar,638.73175,3740.7,1136.99566055698,62.8,4.83,,96.76,69.7631187470302,Very High
MNE,Montenegro,435.00335,3193.4,7198.30460781272,99.4,1.32,105.72,10.24,34.6733968682325,High
MNG,Mongolia,378.19110000000006,1420.0,4063.53669849245,100.0,7.0,119.1,39.27,30.7846755981445,Medium
MOZ,Mozambique,373.96075,997.3,588.215854695416,3.8,13.2,112.08,81.37,65.5500740598446,Medium
MRT,Mauritania,569.4255499999999,2035.6,1520.3111804259,,12.4,88.31,179.89,42.098464858359,Very High
MUS,Mauritius,463.50985,8640.6,9804.0031863121,99.8,9.0,135.19,46.33,60.922852684278,High
MWI,Malawi,490.65125,2319.1,569.968967322435,5.6,13.080000000000002,44.6,55.4,83.5118074199306,Very High
MYS,Malaysia,392.5575,3768.1,10388.2667120857,100.0,2.71,134.04,1.75,24.4911371808093,Medium
NAM,Namibia,377.03405,471.2,3809.80753359714,33.2,8.299999999999999,83.54,126.45,50.9428118516204,Medium
NER,Niger,476.5878,360.5,523.263179518652,9.1,12.36,37.02,768.22,82.7704063333314,High
NGA,Nigeria,350.1737,1621.9,2206.66406250067,26.3,12.725,,90.28,39.4301454616396,Low
NIC,Nicaragua,485.57045,2403.1,2128.30881395452,66.3,9.13,106.21,34.98,41.1407470703125,High
