country_code,country_name,cereal_yield_kg_per_ha,fertiliser_kg_per_ha,arable_land_pct,irrigated_land_pct,livestock_production_index,gdp_per_capita_usd,agri_value_added_pct_gdp,food_price_inflation_pct,population_total,rural_population_pct,agri_employment_pct,female_agri_employment_pct,internet_users_pct,rural_electricity_access_pct,stunting_pct_children,account_ownership_pct,account_ownership_female_pct,account_ownership_poorest40_pct,bank_branches_per_100k,atm_per_100k,private_credit_pct_gdp,bank_deposits_pct_gdp,cereal_loss_pct,wgi_control_of_corruption,wgi_government_effectiveness,wgi_political_stability,wgi_regulatory_quality,wgi_rule_of_law,wgi_voice_accountability,lpi_overall,trade_pct_gdp,poverty_headcount_pct_215,mobile_subscriptions_per_100,fertiliser_efficiency,bank_branches_scaled,atm_scaled,credit_scaled,value_chain_finance_score,cereal_availability_kg_pc
GRC,Greece,4194.7,188.187692114327,14.0607439875873,21.3427492773632,97.28,19232.9683327114,3.53173488105093,1.22382501019854,10569207,21.6115101352558,11.3577118058213,10.2566756863463,78.49426371,100.0,,94.8841039582543,93.431332757825,91.8323914191436,17.0535495768925,63.1168494024046,56.1973361608804,55.9784544551461,1.97,0.3910516,0.5727218,0.2270172,0.3962921,0.4439375,0.7984163999999999,3.7,88.01,0.6799999999999999,108.643525000707,22.29,13.89,20.81,21.68,48.33,299.83655
GRD,Grenada,999.3,86.6666666666667,8.82352941176471,,137.92,8782.32193426078,5.34059405940594,1.21951193916838,116688,63.7168396293092,,,67.02279663,,,,,,20.0813824446441,36.9920202927654,57.3161056105611,57.3161056105611,9.0,0.3144044,-0.0943871,1.0408786,-0.0492583,0.4044534999999999,0.2559812999999999,2.5,,0.2799999999999999,86.5710270122035,11.53,16.36,12.2,22.11,16.89,228.89515
GTM,Guatemala,1990.2,219.350064350064,14.501679731243,,118.58,4268.62858565412,9.17348943872533,4.26105127422813,17598650,45.0952928446242,29.1745916937096,12.6195759568506,50.84164945,98.1,46.0,,,,24.042405959031,36.9306692476888,35.6614893229197,35.1255003806811,2.4,-1.21790929999999,-0.7444335,-0.5740791,-0.385992799999999,-0.975567699999999,-0.435668599999999,2.6,49.26,4.8500000000000005,125.718955715353,9.07,19.58,12.18,13.76,15.17,405.02955000000003
GUY,Guyana,5443.6,263.639175257732,0.459410817467083,,139.31,10711.9973374148,13.4551932931892,5.03285574626702,815482,73.556696038053,15.0837056233008,7.3944828930695,71.65090179,91.2,,,,,8.02018296478268,20.5735128227033,30.828624719599,20.1665410061367,9.95,-0.1042454,-0.1426381,-0.0281476999999999,-0.5733425,-0.378924,-0.012718,2.4,,5.16,104.968595260226,20.65,6.53,6.78,11.89,8.4,387.42195000000004
HKG,"Hong Kong SAR, China",2039.9,502.0,1.9047619047619,,175.19,44530.9262090583,0.0755934592131795,1.56875834445922,7413100,0.0,0.198803564005711,0.11718721261544,93.08715788,100.0,,97.801244380349,98.1886072222839,96.1359607847227,19.6447268806984,50.6861600518411,259.183988203515,259.183988203515,0.21,1.6345393,1.6245817,0.2186871,1.7461556,1.0319968,-0.0977455,4.0,402.46,0.0,319.852066930488,4.06,16.0,16.71,100.0,65.41,284.7365
HND,Honduras,1885.7,191.119842829077,9.09822146751274,,114.8,2423.76634916911,10.8930519266193,4.48087963413445,10289877,42.6449763642453,22.8001904545923,8.44833769442267,51.95159912,85.7,,37.8497022494385,28.8504573351507,31.828968441328,15.2888913802043,24.7340910046385,67.7270471861986,65.5885772061814,1.88,-1.1204199,-0.6672516,-0.806377,-0.606984299999999,-1.1417518,-0.745449199999999,2.9,103.37,10.56,73.4771659564055,9.87,12.45,8.16,26.13,21.48,405.50405
HRV,Croatia,7012.9,208.07934655776,15.3145103645461,1.15853658536585,102.42,15395.1287782758,3.35973327348871,2.55450699642041,3878981,43.2316497439829,6.72467953433115,4.85896117461463,81.25396608,100.0,,91.8041946650619,89.9630726157021,80.2528022172844,26.8721238195406,140.875983196966,52.8751591525322,52.8597331603648,4.83,0.0954983,0.7557995,0.6364386,0.3318001,0.4127964,0.5908861,3.3,102.33,0.2299999999999999,112.169438491978,33.7,21.89,46.45,20.4,51.79,319.29470000000003
HTI,Haiti,1070.6,7.42686567164179,36.4658925979681,,100.99,1292.71954963551,20.684893342416,16.8415240198785,11374586,46.7539362081974,46.8348431054517,32.5126336021355,43.37919998,,,,,,,,8.31227901324056,8.04044339373495,1.04,-1.4853353,-2.0602282,-1.2132391,-1.4160753,-1.392161,-1.0935313,2.1,37.05,24.24,64.3451990252656,144.15,,,3.21,3.21,372.24160000000006
HUN,Hungary,5920.0,165.491767962949,45.3616524216524,2.19097586635305,104.86,15787.9535427563,3.45755919325803,5.11096534382855,9630932,29.7940724668587,4.38082265138894,2.64568365834189,88.64083466,100.0,,88.2187885918565,86.8767212111151,71.5827391528357,22.4424793949835,59.2881611943738,38.4125853084098,38.0827788593422,0.87,0.1312694999999999,0.784219,0.7337252999999999,0.4002885,0.2971399,0.080264,3.2,159.19,0.5,105.137285804787,35.77,18.28,19.55,14.82,42.22,330.4783
IDN,Indonesia,5695.7,381.229919311091,9.40017404086973,,171.35,3850.68877253903,13.2801691376596,1.56007882983334,276758053,43.1238297535973,28.9871998196831,26.0172150158565,62.10447842,98.2,24.4,51.755324070215,52.3045226846809,40.4920801093323,15.9173180592044,48.4548591785955,36.9908270556254,32.0107062631733,4.57,-0.416213499999999,0.1470804,-0.6496757,0.3421673,-0.1436778,0.0239606,3.0,40.2,2.3800000000000003,132.199444256099,14.94,12.97,15.98,14.27,27.2,504.33875
