country_code,country_name,cereal_yield_kg_per_ha,fertiliser_kg_per_ha,arable_land_pct,population_total,gdp_per_capita_usd,internet_users_pct,stunting_pct_children,irrigated_land_pct,account_ownership_pct,bank_branches_per_100k,atm_per_100k,cereal_loss_pct,fertiliser_efficiency
DZA,Algeria,1433.7,20.6745452131191,3.16197401899452,44761099,4456.74687637774,72.21240234,,,44.0970221449773,5.3054562533933,9.36948801399751,,69.35
ECU,Ecuador,4016.0,367.8466796875,4.12304718956354,17682454,5815.09477390949,69.1147995,,18.8665447897623,64.1767160592829,9.15384210093753,37.2464056914393,,10.92
EGY,"Egypt, Arab Rep.",7340.5,541.891452713682,3.09106434275956,110957008,3837.31992324447,72.05599976,12.8,,27.4440057212001,6.39508131575558,25.99317574557,5.8,13.55
ESP,Spain,4227.4,157.991217599046,23.112437562789,47443821,26705.3629138959,93.89752157,,14.899014377001,98.2984394535205,37.3021362544501,96.2361722193862,5.0,26.76
EST,Estonia,3502.4,103.494285714286,16.374269005848,1330932,21570.6658455268,90.97970174,,,99.3765667926472,7.46580123338634,62.5148416530543,,33.84
ETH,Ethiopia,2660.6,41.7726745237649,14.560115607756,122138588,790.65701959778,16.6981031,,,,,,3.18,63.69
FIN,Finland,2777.3,98.0842621489077,7.37955904913905,5541017,45792.0454180872,92.80806082,1.3,,99.5301883332477,6.14581850672402,36.6615145644161,,28.32
FJI,Fiji,3887.4,76.171875,4.20361247947455,916711,4507.33353596072,70.56800079,7.2,,,10.3456669912366,49.2940603700097,,51.03
FRA,France,7171.3,171.652047698957,31.5621764542165,67842811,38030.8571685178,86.09548575,,,99.244295476517,33.0926074894023,89.2762788371069,,41.78
FSM,"Micronesia, Fed. Sts.",1721.5,0.0,2.85714285714286,111624,3023.96457451783,,,,,12.7544513035049,11.4790061731544,,
GAB,Gabon,1587.1,28.2523076923077,1.26130321729344,2376722,6479.04900690761,65.76809692,,,66.0899712589808,,,,56.18
GBR,United Kingdom,6966.8,241.438814262867,24.8410870913074,66984000,46487.3424706549,96.19650269,,,99.7632738299911,,,6.0,28.86
GEO,Georgia,2750.4,169.464743589744,4.48985465534609,3708610,5175.19865185825,76.4427093,,,70.4986885500291,31.5756667796647,96.4014675167036,,16.23
GHA,Ghana,2360.5,37.3638506125395,20.6998545265961,32518665,2030.04866500967,68.6,,,68.2303947936909,11.1692929390992,11.0576485507466,3.69,63.18
GIN,Guinea,1356.5,4.05121944335288,21.3538258993977,13710513,973.646890096159,28.61330032,,,30.4403355352872,2.62989455774448,2.5282561207302,3.01,334.84
GMB,"Gambia, The",1054.1,2.23636363636364,43.4782608695652,2576010,689.49323955737,41.67309952,,,,5.90016386364185,8.58205652893359,2.87,471.35
GNB,Guinea-Bissau,1352.6,17.9660549332733,14.0239971550498,2058841,729.627090607537,23.3519001,,,,3.42899410457942,6.53141734205604,2.87,75.29
GRC,Greece,4194.7,188.187692114327,14.0607439875873,10569207,19232.9683327114,78.49426371,,21.3427492773632,94.8841039582543,17.0535495768925,63.1168494024046,1.0,22.29
GRD,Grenada,999.3,86.6666666666667,8.82352941176471,116688,8782.32193426078,67.02279663,,,,20.0813824446441,36.9920202927654,,11.53
GTM,Guatemala,1990.2,219.350064350064,14.501679731243,17598650,4268.62858565412,50.84164945,46.0,,,24.042405959031,36.9306692476888,,9.07
GUY,Guyana,5443.6,263.639175257732,0.459410817467083,815482,10711.9973374148,71.65090179,,,,8.02018296478268,20.5735128227033,,20.65
HKG,"Hong Kong SAR, China",2039.9,502.0,1.9047619047619,7413100,44530.9262090583,93.08715788,,,97.801244380349,19.6447268806984,50.6861600518411,,4.06
HND,Honduras,1885.7,191.119842829077,9.09822146751274,10289877,2423.76634916911,51.95159912,,,37.8497022494385,15.2888913802043,24.7340910046385,20.0,9.87
HRV,Croatia,7012.9,208.07934655776,15.3145103645461,3878981,15395.1287782758,81.25396608,,1.15853658536585,91.8041946650619,26.8721238195406,140.875983196966,3.0,33.7
HTI,Haiti,1070.6,7.42686567164179,36.4658925979681,11374586,1292.71954963551,43.37919998,,,,,,28.5,144.15
HUN,Hungary,5920.0,165.491767962949,45.3616524216524,9630932,15787.9535427563,88.64083466,,2.19097586635305,88.2187885918565,22.4424793949835,59.2881611943738,,35.77
